game_id,tool,repairs,mission_failures_damaged
0c7a9f7a336a5d74,KNIFE,0,0
0c7a9f7a336a5d74,VESSEL,0,0
cf16923b67ac697f,KNIFE,0,0
cf16923b67ac697f,VESSEL,0,0
d837bf736fdf9353,KNIFE,1,0
d837bf736fdf9353,VESSEL,1,0
8f6011052ae3be0f,KNIFE,0,0
8f6011052ae3be0f,VESSEL,0,0
3f6f8e254c0fa115,KNIFE,0,0
3f6f8e254c0fa115,VESSEL,0,0
7afb2537268813e5,KNIFE,0,0
7afb2537268813e5,VESSEL,0,0
3f1862fb2f669d9e,KNIFE,0,0
3f1862fb2f669d9e,VESSEL,1,0
2a338ad607fb9ea3,KNIFE,1,0
2a338ad607fb9ea3,VESSEL,0,1
6c78aa5ef3342eff,KNIFE,1,0
6c78aa5ef3342eff,VESSEL,1,0
82893dd1111cec73,KNIFE,1,1
82893dd1111cec73,VESSEL,0,0
82bab2199e51bf78,KNIFE,0,0
82bab2199e51bf78,VESSEL,1,0
119ec0a01893f761,KNIFE,0,0
119ec0a01893f761,VESSEL,1,0
0521b3ca87280a43,KNIFE,0,0
